kind,depth,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp,ps_budget,ps_population,avoid_ancestors,metrics
naive,5,SAT_S,Tabu,10000,3.0832922969751,1.4011258056187548,0.36050372912897966,0.36062212320623965,,,,,
naive,2,SAT_S,PSO,10000,7.73494778842712,2.1730144755466325,0.15037098608420063,0.15129961629253008,,,,,
naive,3,SAT_S,PSO,10000,6.815786958328559,1.9890032397699446,0.25133426742335907,0.25266770793446625,,,,,
naive,4,SAT_S,PSO,10000,6.251237633901069,1.90430342305124,0.31334599638910765,0.31395905242128064,,,,,
naive,5,SAT_S,PSO,10000,5.25171802000461,1.763188336405386,0.4231361187238617,0.42374597560844884,,,,,
naive,2,SAT_M,GA,10000,32.877912233248466,4.15099963125137,0.37281944444356196,0.3730564328006549,,,,,
naive,3,SAT_M,GA,10000,24.73037507828182,3.6615732686399314,0.5282422353743416,0.5283403207738779,,,,,
naive,4,SAT_M,GA,10000,21.771951016266737,3.419559488975101,0.5846772679160301,0.5847015585836904,,,,,
naive,5,SAT_M,GA,10000,18.71309562466685,3.073209950719824,0.6430281330883736,0.6430520466077666,,,,,
naive,2,SAT_M,uniform,10000,23.22615788123432,3.8579562546170982,0.10561007786313648,0.10564025853324432,,,,,
naive,3,SAT_M,uniform,10000,21.716668043012476,3.71147668055503,0.16373731981925965,0.1637373214441663,,,,,
naive,4,SAT_M,uniform,10000,20.6638207600981,3.6205511309925633,0.20428022856046868,0.20432805824673794,,,,,
naive,5,SAT_M,uniform,10000,19.98834007354008,3.5645898299801937,0.23029155259196954,0.2302991107168969,,,,,
naive,2,SAT_M,SA,10000,34.76388824485512,4.72862123659983,0.2296356327175454,0.23377197488110268,,,,,
naive,3,SAT_M,SA,10000,27.67542582268454,4.146483543987448,0.38671526749254925,0.3900741399358717,,,,,
naive,4,SAT_M,SA,10000,22.53819161420417,3.6754774074671843,0.5005558756754805,0.5022781806108723,,,,,
naive,5,SAT_M,SA,10000,16.27297196061632,3.1617061393665535,0.6393925311245758,0.6402275590909738,,,,,
naive,2,SAT_M,Tabu,10000,10.027313260123213,2.5211941016790433,0.07331126858557624,0.07537857177226948,,,,,
naive,3,SAT_M,Tabu,10000,9.59731080243959,2.46258405127782,0.11305057079732594,0.11438205274012625,,,,,
naive,4,SAT_M,Tabu,10000,8.708382946182777,2.3313937048195523,0.19520213084776428,0.19609006839701182,,,,,
naive,5,SAT_M,Tabu,10000,7.8445573473117,2.2206380855899956,0.2750338292913119,0.2751728527709447,,,,,
naive,2,SAT_M,PSO,10000,32.877912233248466,4.15099963125137,0.37281944444356196,0.3730564328006549,,,,,
naive,3,SAT_M,PSO,10000,24.73037507828182,3.6615732686399314,0.5282422353743416,0.5283403207738779,,,,,
naive,4,SAT_M,PSO,10000,21.771951016266737,3.419559488975101,0.5846772679160301,0.5847015585836904,,,,,
